"p1"	"upper"
CEDRUS LIBANOTICA WHOLE	BIXA ORELLANA
ESCHSCHOLZIA CALOSPERMA WHOLE	JUGLANS REGIA
GLADIOLUS NEBULICOLA WHOLE	DRYOBALANOPS AROMATICA
MEDICAGO APICULATA WHOLE	RUBUS ALLEGHENIENSIS
ATHAMANTA MEUM WHOLE	GLYCYRRHIZA URALENSIS
ASARUM LATIFOLIUM WHOLE	HYGROPHILA COSTATA
CERINTHE MAJOR L.	FICUS CARICA
ROSA AMANSII WHOLE	JUGLANS NIGRA
PRICKLY JUNIPER WHOLE	TRAMETES VERSICOLOR
SALVIA TIBERINA WHOLE	RUMEX CRISPUS
ALDERLEAF BUCKTHORN WHOLE	VACCINIUM MYRSINITES
CORNUS OFFICINALIS WHOLE	SALIX LUCIDA
GLECHOMA INDICA WHOLE	KARCURA
EUGENIA BIFLORA (L.) DC.	ANEMONE HEPATICA
RUMEX ELONGATUS WHOLE	SPERMACOCE VERTICILLATA
SOUTHERN CATTAIL WHOLE	DAPHNE LAUREOLA
VERBASCUM ANGUSTIUS WHOLE	REISHI
COMMON ST. JOHN'S WORT WHOLE	VIBURNUM OPULUS
COMMIPHORA ROXBURGHII WHOLE	LYCIUM BARBARUM
XANTHIUM AMERICANUM WHOLE	CERATONIA SILIQUA
AERIDES SPICATA WHOLE	PAPAVER SOMNIFERUM
BARTSIA SCABRA WHOLE	EUGENIA BIFLORA
VITEX CIENKOWSKII WHOLE	SAMBUCUS CANADENSIS
SALVIA BASILII WHOLE	TEUCRIUM CHAMAEDRYS
KADSURA JAPONICA (L.) DUNAL	RICINUS COMMUNIS
FERULA SINKIANGENSIS [WHO-DD]	ACHILLEA MILLEFOLIUM
CURCUMA MALABARICA WHOLE	GLYCYRRHIZA GLABRA
BAUHINIA LONGIFOLIA WHOLE	ERUCA VESICARIA
CICHORIUM GLABRATUM WHOLE	SALIX BABYLONICA
ARDISIA KUSUKUSENSIS WHOLE	SCHOENOPLECTUS TABERNAEMONTANI
BAUHINIA AMERICANA WHOLE	CINNAMOMUM BURMANNI
NEMEXIA TAMNIFOLIA WHOLE	MAGNOLIA GRANDIFLORA
SWORD FERN WHOLE	CAPSELLA BURSA-PASTORIS
CASPARIA OAXACANA WHOLE	FOMES FOMENTARIUS
AMPELOPSIS LATIFOLIA WHOLE	CAPSELLA BURSA-PASTORIS
PAROTA WHOLE	LONICERA PERICLYMENUM
ORIGANUM MAJORANA L.	EICHHORNIA CRASSIPES
ALBIZIA CORIARIA WHOLE	BUPLEURUM CHINENSE
MITRACARPUS VERTICILLATUS WHOLE	MENTHA PULEGIUM
XANTHIUM VARIANS WHOLE	SALIX TRIANDRA
GLADIOLUS PLATYPHYLLUS WHOLE	ASTRAGALUS PROPINQUUS
ERECHTITES HIERACIFOLIA WHOLE	BERBERIS VULGARIS
HOODWORT WHOLE	SMILAX GLAUCA
CAPSELLA BREMENSIS WHOLE	PANAX GINSENG
FRAGRANT CUDWEED	JUNIPERUS VIRGINIANA
COMMELINA CANESCENS WHOLE	DAPHNE OLEOIDES
ANONYMOS TINCOTRIA WHOLE	NIPHIDIUM CRASSIFOLIUM
TEASEL WHOLE	RUBUS TRIVIALIS
VITIS FARINOSA WHOLE	ASCLEPIAS STELLIFERA
PISTIA COMMUTATE WHOLE	DRYOBALANOPS AROMATICA
RICINUS NANUS WHOLE	TRIFOLIUM REPENS
SAROTHRA CUNEIFOLIA WHOLE	CENTAURIUM PULCHELLUM
CAPSELLA CUNEIFORMIS WHOLE	SMILAX GLABRA
POLYGONUM HYDROPIPEROIDES WHOLE	ARTEMISIA HERBA-ALBA
RUBUS BESSEYI WHOLE	CRATAEGUS MONOGYNA
CELTIS SMALLII WHOLE	CITRUS SINENSIS
ERECHTITES AGRESTIS WHOLE	ROSA CANINA
ERYTHRAEA LATIFOLIA WHOLE	SALVIA ROSMARINUS
MIKANIA GABRIELI WHOLE	FICUS SUR
ROU GUI	TANACETUM PARTHENIUM
THAPSIA GARGANICA WHOLE	DIANTHUS CARTHUSIANORUM
AMORPHA DEWINKELERI WHOLE	ANETHUM GRAVEOLENS
KADSURA JAPONICA (L.) DUNAL	ABIES ALBA
VERONICA HIRSUTISSIMA WHOLE	DICHORISANDRA HEXANDRA
TETRANTHERA ALBIDA WHOLE	ARCTIUM LAPPA
PINK ROCK-ROSE WHOLE	SCHOENOPLECTUS TABERNAEMONTANI
MYRTUS COMMUNIS L.	SALVIA MICROPHYLLA
ONE-FLOWERED WINTERGREEN WHOLE	WISTERIA SINENSIS
CAESALPINIA REGIA WHOLE	PISTIA STRATIOTES
CAPSELLA FURCATA WHOLE	SOLANUM ANGUIVI
MAQUI WHOLE	ENDOTROPIS ALNIFOLIA
POINCIANA REGIA WHOLE	ECBALLIUM ELATERIUM
MESPILUS LAEVIGATA WHOLE	MIMOSA PUDICA
GUGGULU WHOLE	RUBUS URSINUS
BALINOTELLA LIBANOTIS WHOLE	DRYOBALANOPS AROMATICA
MIKANIA HIRSUTISSIMA WHOLE	SCOLYMUS HISPANICUS
LEVISTICUM OFFICINALE [WHO-DD]	LILIUM CANDIDUM
MASTIC TREE WHOLE	ZANTHOXYLUM SIMULANS
GLADIOLUS BUETTNERI WHOLE	AFROHYBANTHUS ENNEASPERMUS
EMILIA JAVANICA WHOLE	CEDRUS LIBANI
BACTRIS MAJOR WHOLE	DIPLOTAXIS TENUIFOLIA
COMBRETUM NYIKAE WHOLE	NEUROLAENA LOBATA
AFRAMOMUM MELEGUETA [WHO-DD]	EQUISETUM ARVENSE
ECBALLIUM ELATERIUM (L.) A.RICH.	PELTANDRA VIRGINICA
DONAX SATIVUS WHOLE	MELIA AZEDARACH
DIGITARIA INSULARIS (L.) MEZ EX EKMAN	DELPHINIUM GRANDIFLORUM
MAERUA ARABICA WHOLE	MEUM ATHAMANTICUM
JUGLANS COMPRESSA WHOLE	CAULOPHYLLUM THALICTROIDES
ARISTOTELIA CHILENSIS [WHO-DD]	RUBUS FLAGELLARIS
RANUNCULUS TRACHYTICUS WHOLE	ASARUM CANADENSE
BRASSICA MUSIFOLIA WHOLE	CENTAUREA BENEDICTA
PYRUS SALVIIFOLIA WHOLE	AESCULUS HIPPOCASTANUM
NARROWLEAF VETCH WHOLE	SESELI LIBANOTIS
URENA MAURITIANA WHOLE	MACLURA TINCTORIA
DRAGON'S-BLOOD-TREE WHOLE	PLECTRANTHUS AMBOINICUS
GLYCINE HISPIDA WHOLE	FOMES FOMENTARIUS
BLUMEA BODINIERI WHOLE	ROBINIA PSEUDOACACIA
CUPHEA DIVARICATA WHOLE	RUBUS URSINUS
AZADIRACHTA INDICA A. JUSS.	ANCHUSA OFFICINALIS
EUCLEA BILOCULARIS WHOLE	DAUCUS CAROTA
AMORPHA GAERTNERI WHOLE	ILEX OPACA
ACHILLEA SUBHIRSUTA WHOLE	NUPHAR LUTEA
SAUSSUREA INVOLUCRATA [WHO-DD]	BALLOTA NIGRA
EQUISETUM SAXICOLA WHOLE	ANCHUSA OFFICINALIS
CHIRONIA CENTAURIUM WHOLE	CYPERUS ROTUNDUS
SENNA OCCIDENTALIS [WHO-DD]	MACLURA TINCTORIA
VERONICA CHAMAEDRYS WHOLE	SALVIA VERBENACA
SELINUM CUMINUM WHOLE	MIKANIA BANISTERIAE
SMILAX AURICULATA WHOLE	SALVIA TOMENTOSA
OLEA EUROPAEA WHOLE	MELILOTUS ALBUS
PULEGIUM VULGARE WHOLE	CASTANEA PUMILA
NEUROLAENA LOBATA (L.) R.BR. EX CASS.	OCIMUM TENUIFLORUM
ARISTOLOCHIA EURYSTOMA WHOLE	CYMBOPOGON SCHOENANTHUS
SCLAREA TUBEROSA WHOLE	CIRSIUM ERIOPHORUM
CARDAMINE NASTURTIUM-AQUATICUM WHOLE	ANDROPOGON GLOMERATUS
ORIGANUM ODORUM WHOLE	ESCHSCHOLZIA CALIFORNICA
ILEX CUMULICOLA WHOLE	DIPSACUS FULLONUM
CONYZA PROLIFERA WHOLE	SPARTIUM JUNCEUM
CARDARIA DRABA WHOLE	RAPHANUS RAPHANISTRUM
SOLANUM ALBIFLORUM WHOLE	SILYBUM MARIANUM
TILIA PALMERI WHOLE	CYANTHILLIUM CINEREUM
TURNERA DIFFUSA VAR DIFFUSA WHOLE	PAPAVER RHOEAS
BAUHINIA GOLDMANII WHOLE	FICUS SAUSSUREANA
GALIUM INTERMEDIUM WHOLE	CAPSELLA BURSA-PASTORIS
RUBUS BRACTEALIS WHOLE	ROSA CANINA
FIG [HOC]	ALOCASIA MACRORRHIZOS
ARUNDO BAMBUSIFOLIA WHOLE	GLADIOLUS DALENII
SPERMACOCE HYSSOPIFOLIA WHOLE	QUERCUS ILEX
SILENE MACROCARPA WHOLE	SESELI LIBANOTIS
CONYZA LOBATA WHOLE	EMILIA SONCHIFOLIA
AMORPHA HUMILIS WHOLE	CASTANEA DENTATA
ACHILLEA NOBILIS L.	DICHORISANDRA HEXANDRA
CEPHALANTHUS BERLANDIERI WHOLE	PILOBLEPHIS RIGIDA
EASTERN PURPLE CONEFLOWER WHOLE	QUERCUS MARILANDICA
WATER BETONY WHOLE	PONTEDERIA CORDATA
CHIROCALYX TOMENTOSUS WHOLE	AGELAEA PENTAGYNA
PTEROCYPSELA INDICA WHOLE	LEPIDIUM DRABA
HYBANTHUS LINIFOLIUS WHOLE	FRAXINUS AMERICANA
SAPOSHNIKOVIA SESELOIDES WHOLE	TANACETUM VULGARE
DILATRIS CAROLINIANA WHOLE	NEPETA CATARIA
ATHAMANTA RIVINIANA WHOLE	SERENOA REPENS
HAMAMELIS DIOICA WHOLE	ALBATRELLUS CONFLUENS
ORCHIS ANGUSTIFOLIA WHOLE	QUERCUS FALCATA
TIRUCALIA ANTISYPHILITICA WHOLE	CITRUS AURANTIUM
CAPSELLA TIBELENSIS WHOLE	CAULOPHYLLUM THALICTROIDES
IRIS CONVOLUTA WHOLE	DRYOBALANOPS AROMATICA
MELISSA OFFICINALIS	DIANTHUS CARTHUSIANORUM
URENA HAENKEANA WHOLE	PRUNELLA VULGARIS
SMYRNIUM OLUSATRUM WHOLE	CORYLUS AVELLANA
COOJONG WHOLE	THUNBERGIA LAURIFOLIA
MENTHA EXIGUA WHOLE	CITRUS AURANTIUM
BURSA ANGLICA WHOLE	ANCHUSA OFFICINALIS
SPANISH NEEDLES WHOLE	VACCINIUM PALLIDUM
VITIS DENSIFLORA WHOLE	VERBASCUM THAPSUS
MANDRAGORA OFFICINARUM L.	MAGNOLIA OFFICINALIS
ESCHSCHOLZIA XYLORRHIZA WHOLE	DIANTHUS CARTHUSIANORUM
LIBANOTIS CRITHMOIDES WHOLE	ARUNDO DONAX
CARUM VULGARE WHOLE	SALIX BABYLONICA
COMMELINA PYRRHOBLEPHARIS WHOLE	THUNBERGIA LAURIFOLIA
UME WHOLE	SENNA ALEXANDRINA
PISTIA NATALENSIS WHOLE	FILIPENDULA ULMARIA
CANOE CEDAR WHOLE	INONOTUS OBLIQUUS
LOW RAGWEED	TRIFOLIUM PRATENSE
BAUHINIA SCHLECHTENDALIANA WHOLE	ESCHSCHOLZIA CALIFORNICA
APIUM ROMANUM WHOLE	FRAXINUS QUADRANGULATA
COMMON TURMERIC WHOLE	TAMARIX CHINENSIS
RUBUS CHRYSOCARPUS WHOLE	ULMUS MINOR
HONEY-CLOVER WHOLE	ULMUS MINOR
TILLANDSIA TRICHOIDES WHOLE	ARTEMISIA ABSINTHIUM
COOJONG WHOLE	LIMNOPHYTON OBTUSIFOLIUM
WILD SICHUAN PEPPER WHOLE	MARRUBIUM VULGARE
CITRUS X IWAIKAN WHOLE	DIPLOTAXIS ERUCOIDES
DIODIA VILLOSA WHOLE	PARTHENOCISSUS QUINQUEFOLIA
APIUM GRAVEOLENS WHOLE	SISYMBRIUM OFFICINALE
URTICA SUBINERMIS WHOLE	PERSICARIA MACULOSA
ASCLEPIAS INCARNATA WHOLE	AFRAMOMUM ANGUSTIFOLIUM
CILANTRO (LEAF) [HOC]	ROBINIA PSEUDOACACIA
MAGNOLIA MICROPHYLLA WHOLE	MEDICAGO POLYMORPHA
ZI DIAN ZHANG LIE LAN WHOLE	NEPHROLEPIS CORDIFOLIA
HAMAMELIS CORYLIFOLIA WHOLE	GLADIOLUS DALENII
TEUCRIUM CHAMAEDRYOIDES WHOLE	DRIMA MARITIMA
DAISY FLEABANE WHOLE	CORIANDRUM SATIVUM
YELLOW GENTIAN WHOLE	BLACK PEPPER
SCUTIGER CONFLUENS WHOLE	QUERCUS GAMBELII
TUNICA CARTHUSIANORUM WHOLE	PTERIDIUM AQUILINUM
SWEETGUM WHOLE	POGOSTEMON CABLIN
AGELAEA LONGICALYCULATA WHOLE	ALOCASIA MACRORRHIZOS
RANUNCULUS SUBTILIS WHOLE	GINKGO BILOBA
SCENTED MAYWEED WHOLE	RUBUS FLAGELLARIS
JAPANESE PLUM WHOLE	CARCHARHINUS LEUCAS
SHATAMULL WHOLE	ANEMONE HEPATICA
FAUCIBARBA OFFICINALIS WHOLE	ACHILLEA MILLEFOLIUM
APONOGETON INVOLUCRATUS WHOLE	CROTALARIA JUNCEA
GENTIANA REYESII WHOLE	ERICA MULTIFLORA
BRASSICA JUNCEA SUBSP. JUNCEA WHOLE	SONCHUS OLERACEUS
COMMON JUNIPER WHOLE	GENTIANA PNEUMONANTHE
WHITE HEDGE WHOLE	BEET ROOT
LAURUS ALBIDA WHOLE	VERBASCUM SINUATUM
TECOMA EXIMIA WHOLE	CROTALARIA JUNCEA
COMMON FOUR-O'CLOCK WHOLE	SENNA ITALICA
DAPHNE CANTABRICA WHOLE	ERIODICTYON CALIFORNICUM
CRUCIFERA CAPSELLA WHOLE	MARRUBIUM VULGARE
ACHILLEA NOBILIS	LIMNOPHYTON OBTUSIFOLIUM
ABIES TENUIRIFOLIA WHOLE	QUERCUS CERRIS
SONCHUS MACROTUS WHOLE	ESCHSCHOLZIA CALIFORNICA
HELICHRYSUM GYMNOCEPHALUM [WHO-DD]	SOLANUM NIGRUM
SOUR DOCK WHOLE	CENTAURIUM ERYTHRAEA
RUBUS MUNDTII WHOLE	ARISTOLOCHIA RUGOSA
ALTHAEA AEGYPTICA WHOLE	TILIA AMERICANA
CROTON DRACONOIDES WHOLE	THUJA PLICATA
SALVIA CLANDESTINA WHOLE	GALIUM APARINE
GALLITRICHUM DICHROANTHUM WHOLE	CINNAMOMUM CAMPHORA
CYCLAMEN CYCLAMINUS WHOLE	MARKHAMIA LUTEA
ABIES DRUMMONDII WHOLE	QUERCUS NIGRA
SMOOTH CROTALARIA WHOLE	QUERCUS ILEX
INDIGOFERA HIRSUTA L.	PTERIDIUM AQUILINUM
IRIS SHREVEI WHOLE	CAPSELLA BURSA-PASTORIS
SCUTIGER WHITEAE WHOLE	CENTROSEMA VIRGINIANUM
MYRTUS LANCEA WHOLE	ERECHTITES HIERACIFOLIUS
ARTEMISIA WADEI WHOLE	CORYLUS AMERICANA
ALTHAEA MAURITIANA WHOLE	PAPAVER RHOEAS
PERSICARIA PUNCTATA (ELLIOTT) SMALL	AMORPHA FRUTICOSA
THYMUS PRAECOX WHOLE	GALIUM APARINE
ASIAN GINSENG [HOC]	SOLANUM ANGUIVI
ESCHSCHOLZIA MARCIDA WHOLE	PSEUDOGNAPHALIUM VISCOSUM
PEACH [HOC]	CICHORIUM INTYBUS
CITRUS X TOSA-ASAHI WHOLE	BIDENS PILOSA
AMORPHA BUSHII WHOLE	PALIURUS SPINA-CHRISTI
TRIGONELLA CORNICULATA WHOLE	CINNAMOMUM CAMPHORA
SOLANUM OLERACEUM WHOLE	SALVIA VERBENACA
ERYTHRAEA EMARGINATA WHOLE	RAPHANUS RAPHANISTRUM
SANN HEMP [HOC]	MERTESIA VIRGINICA
SOJA HISPIDA WHOLE	CENTAURIUM PULCHELLUM
CULINARY SAGE WHOLE	PISTIA STRATIOTES
SEDUM TELEPHIUM L.	SIDA SPINOSA
MAGNOLIA OFFICINALIS [WHO-DD]	CAPSELLA BURSA-PASTORIS
EXPLODING CUCUMBER WHOLE	DELONIX REGIA
LOW-BUSH BLUEBERRY WHOLE	BAUHINIA DIVARICATA
CENTRANTHUS RUBER WHOLE	CYANTHILLIUM CINEREUM
FIVELEAVED IVY WHOLE	EICHHORNIA CRASSIPES
SALVIA ROMANA WHOLE	GALEGA OFFICINALIS
SALVIA OFFICINALIS SUBSP. OFFICINALIS WHOLE	PTERIDIUM AQUILINUM
INDIAN BARBERRY WHOLE	ASCLEPIAS INCARNATA
ASHWAGANDA	SALIX BABYLONICA
CLIVERS WHOLE	MIKANIA BANISTERIAE
MIRABILIS LINDHEIMERI WHOLE	PISTACIA LENTISCUS
BAUHINIA RACEMIFERA WHOLE	LUDWIGIA PEPLOIDES
TANSY WHOLE	GLADIOLUS DALENII
FICUS SAUSSUREANA WHOLE	FRANGULA ALNUS
EUPATORIUM JAPONICUM THUNB.	ASPARAGUS RACEMOSUS
SOUTHERN HAMMERHEAD SHARK WHOLE	CALLUNA VULGARIS
JUSSIAEA BERTEROANA WHOLE	CICHORIUM INTYBUS
SLENDER NETTLE WHOLE	SOLANUM LINNAEANUM
JALELO WHOLE	CITRUS AURANTIUM
GALLIARIA SPINOSA WHOLE	SALIX NIGRA
AESCHYNOMENE PICTA WHOLE	OLEA EUROPAEA
RUELLIA JUSTICIIFLORA WHOLE	ZALUZIANSKYA CAPENSIS
DIOSPYROS CALYCINA WHOLE	ECHINACEA
CERINTHODES VIRGINICUM WHOLE	EQUISETUM HYEMALE
PELORIA LINARIA WHOLE	RICINUS COMMUNIS
ABIES ABIES WHOLE	NOTOPTERYGIUM INCISUM
SVARNAPATRI WHOLE	SOLANUM CAROLINENSE
ANTELAEA AZADIRACHTA (L.) ADELB.	AFRAMOMUM ANGUSTIFOLIUM
AGRIMONIA CANESCENS WHOLE	SMILAX PSEUDOCHINA
CAPSELLA BURSA-PASTORIS WHOLE	NEUROLAENA LOBATA
CAMOMILLA PATENS WHOLE	THYMBRA CAPITATA
VIBURNUM LOBATUM WHOLE	MELIA AZEDARACH
CAPSELLA BELGICA WHOLE	RANUNCULUS ACRIS
CYANTHILLIUM CINEREUM (L.) H. ROB.	ULMUS RUBRA
ERIOGONUM ALATUM WHOLE	SOLANUM ANGUIVI
VERBASCUM BICOLLE WHOLE	DIGITARIA INSULARIS
EUPATORIUM JAPONICUM WHOLE	HYGROPHILA COSTATA
CASSIDA LATERIFLORA WHOLE	PSEUDOTSUGA MENZIESII
BRASSICA OLERACEA VAR. SYLVESTRIS WHOLE	ULMUS AMERICANA
LEMON BALM [VANDF]	ARDISIA CRENATA
PAVIA OCTANDRIA WHOLE	PRUNELLA VULGARIS
CASSIA SENNA WHOLE	MAESA LANCEOLATA
JUNIPER WHOLE	HYSSOPUS OFFICINALIS
TEUCRIUM BOTRYS L.	COLLOMIA LINEARIS
SPIRAEA ULMARIA L.	COMMELINA BENGHALENSIS
ANTHYLLIS TOURNEFORTII WHOLE	SCHINUS TEREBINTHIFOLIA
RABBITTOBACCO WHOLE	FICUS CARICA
SOLANUM INOPS WHOLE	ULMUS MINOR
ANTHOLYZA SCHLECHTERI WHOLE	CITRUS AURANTIUM
AMORPHA LUDWIGII WHOLE	CENTAURIUM ERYTHRAEA
STORKSBILL WHOLE	SASSAFRAS ALBIDUM
FLAMBOYANT TREE WHOLE	CIRSIUM ERIOPHORUM
TILIA TENERA WHOLE	ACANTHUS MOLLIS
CORDYCEPS MILITARIS	PISTIA STRATIOTES
CAPSELLA BREVISILIQUA WHOLE	LONICERA PERICLYMENUM
RAPHANUS ERUCA WHOLE	BRASSICA RAPA
URTICA RADICANS WHOLE	GUGGUL
PNEUMONANTHE MINOR WHOLE	ERIGERON FLORIBUNDUS
LYCIUM (LYCIUM BARBARUM) [HOC]	ALLIUM PORRUM
MORINDA TINCTORIA WHOLE	PSEUDOGNAPHALIUM STRAMINEUM
CASSIA JAHNII WHOLE	ZALUZIANSKYA CAPENSIS
ACHILLEA SETACEA WHOLE	PTERIDIUM AQUILINUM
VERBASCUM CANESCENS WHOLE	ILEX PARAGUARIENSIS
PARIETARIA DIFFUSA WHOLE	SONCHUS OLERACEUS
MYRTUS PALLENS WHOLE	SAUSSUREA INVOLUCRATA
PARIETARIA JUDAICA	COMBRETUM MOLLE
FLANNEL PLANT WHOLE	CNIDOSCOLUS URENS
NEPETA RUDERALIS WHOLE	DITRYSINIA FRUTICOSA
SOLANUM NGUELENSE WHOLE	SALVIA PRATENSIS
VERBASCUM ROTUNDATUM WHOLE	AMORPHA FRUTICOSA
CALYCOMELIA PISTACIIFOLIA WHOLE	CLINACANTHUS NUTANS
DICHORISANDRA INAEQUALIS WHOLE	RHEUM AUSTRALE
SOLANUM MORELLA WHOLE	CLARKIA PURPUREA
ORCHIS DIVARICATA WHOLE	DIPSACUS FULLONUM
BRAMIA MONNIERI WHOLE	THUNBERGIA LAURIFOLIA
CESTRACION OCEANICA WHOLE	DITRYSINIA FRUTICOSA
INDIGOFERA HIRSUTA WHOLE	SCUTELLARIA LATERIFLORA
CURCUMA TINCTORIA WHOLE	NASTURTIUM OFFICINALE
ABIES DENTICULATA WHOLE	LEVISTICUM OFFICINALE
E20LO45A8G	BACOPA MONNIERI
CITRULLUS LANATUS WHOLE	LEPIDIUM DRABA
QUERCUS VIRGINIANA WHOLE	CITRULLUS ECIRRHOSUS
CLINACANTHUS BURMANNI WHOLE	ESCHSCHOLZIA CALIFORNICA
CASSIA ALEXANDRINA WHOLE	CLINOPODIUM BOLIVIANUM
CINNAMOMUM CAMPHORA WHOLE	VERBASCUM THAPSUS
LONICERA GERMANICA WHOLE	ACHILLEA AGERATUM
ARALIA OCCIDENTALIS WHOLE	MORINDA CITRIFOLIA
SOLANUM AMARANTOIDES WHOLE	SABAL MINOR
GLADIOLUS ANTHOLYZOIDES WHOLE	ALLIUM PORRUM
BUCKTHORN WHOLE	HYGROPHILA COSTATA
TAMARIX ELEGANS WHOLE	CRATAEGUS MONOGYNA
SOLANUM INDECORUM WHOLE	POLIOMINTHA INCANA
LAPPA MAJOR WHOLE	BIDENS BIPINNATA
MACLURA SUBINTEGERRIMA WHOLE	AGELAEA PENTAGYNA
SCOLYMUS VIVAX WHOLE	SMILAX GLABRA
CEP WHOLE	ARUNDO DONAX
CAPSELLA HEEGERI WHOLE	ESCHSCHOLZIA CALIFORNICA
RICINUS UNDULATUS WHOLE	CLINOPODIUM NEPETA
PIKU WHOLE	CERINTHE MAJOR
SOLANUM KENIENSE WHOLE	PARTHENOCISSUS QUINQUEFOLIA
HALOXYLON PACHYCLADUM WHOLE	SMILAX PSEUDOCHINA
ASPARAGUS LUJAE WHOLE	SCOLYMUS HISPANICUS
ROBINIA PSEUDOACACIA [WHO-DD]	ERYTHRINA ABYSSINICA
LYCHNIS MACROCARPA WHOLE	CAPSELLA BURSA-PASTORIS
QUERCUS MIXTA WHOLE	MENTHA PULEGIUM
TILIA HYPOLEUCA WHOLE	ASCLEPIAS INCARNATA
ORANGE [HOC]	ECHINACEA ANGUSTIFOLIA
CAPRIFICUS PEDUNCULATA WHOLE	MENTHA SPICATA
GENTIANA MAJOR WHOLE	VERONICA CHAMAEDRYS
KALANCHOE CRENATA WHOLE	HYLOTELEPHIUM TELEPHIUM
CURCUMA LONGA	SPHYRNA LEWINI
MALVA TOMENTELLA WHOLE	PETROSELINUM CRISPUM
CACALIA VIALIS WHOLE	SPARTIUM JUNCEUM
CURCAS ADANSONII WHOLE	PYROSTEGIA VENUSTA
ASCLEPIAS PERENNIS WALTER	LONICERA PERICLYMENUM
TRUE CHAMOMILE	ALOCASIA MACRORRHIZOS
PONTEDERIA CORDATA L.	ULMUS MINOR
IONIDIUM BANKSIANUM WHOLE	AMARANTHUS SPINOSUS
CRATAEGUS CORIACEA WHOLE	SILENE LATIFOLIA
POGOSTEMON TOMENTOSUS WHOLE	LICORICE
PAUSINYSTALIA JOHIMBE	SIDA SPINOSA
DIANTHUS CHLOAEPHYLLUS WHOLE	FERULA COMMUNIS
HOLOCHLOA GLABRA WHOLE	SAMBUCUS CANADENSIS
BLUMEA SUBCAPITATA WHOLE	ACACIA SALIGNA
PICEA MARIANA WHOLE	SESELI LIBANOTIS
JUGLANS REGIA L.	CAPSELLA BURSA-PASTORIS
CURCUMA BROG WHOLE	BIDENS PILOSA
LEPIDIUM MEYENII	NEPETA CATARIA
JUNIPER [HOC]	QUERCUS ILEX
BRASSICA MIZUNA WHOLE	SYMPHYTUM OFFICINALE
ACACIA HEMU WHOLE	SALVIA OFFICINALIS
ASTERIAS HYBRIDA WHOLE	CITRUS AURANTIUM
SOUTHERN YELLOW PINE WHOLE	RHUS COPALLINUM
ACHILLEA CRISTATA WHOLE	ACHILLEA AGERATUM
ILEX VOMITORIA	QUERCUS CERRIS
AESCULUS CASTANEA	ENDOTROPIS ALNIFOLIA
COMMON GRAPE VINE WHOLE	CYANTHILLIUM CINEREUM
URARIA CRINITA (L.) DC.	CITRUS AURANTIUM
QUERCUS FALCATA WHOLE	TRIPSACUM DACTYLOIDES
SEA FENNEL	TODDALIA ASIATICA
ATRACTYLIS JAPONICA WHOLE	LINARIA VULGARIS
CELERI GRAVEOLENS WHOLE	ARTEMISIA ANNUA
APARINE HISPIDA WHOLE	SALIX NIGRA
ERYTHRINA EGGELINGII WHOLE	COMMIPHORA MUKUL
VIRGINIA TEPHROSIA [HOC]	GYMNEMA SYLVESTRE
COMMON ST. JOHN'S WORT WHOLE	KNAUTIA ARVENSIS
JAPANESE MEDLAR WHOLE	ANDROPOGON VIRGINICUS
TILIA HETEROPHYLLA WHOLE	BARBERRY
ALECTRA LEDERMANNII WHOLE	EUPHORBIA OFFICINARUM
CLITORIA OBLONGA WHOLE	SALVIA TOMENTOSA
QUASSIA [HOC]	NEPETA HINDOSTANA
GRAPPLE PLANT WHOLE	ARISTOLOCHIA RUGOSA
ASTERIAS LUTEA WHOLE	ATRACTYLODES LANCEA
RICINUS RUTILANS WHOLE	PRUNUS PERSICA
VIBURNUM GLANDULOSUM WHOLE	BIDENS PILOSA
FUSTICUS ZANTHOXYLON WHOLE	ACTAEA RACEMOSA
SOYBEAN WHOLE	PALISOTA HIRSUTA
XANTHIUM CHINENSE WHOLE	LEPIDIUM VIRGINICUM
CAROUBIER WHOLE	VIBURNUM OPULUS
RORELLA INTERMEDIA WHOLE	MAGNOLIA VIRGINIANA
TSUGA DOUGLASII WHOLE	STADMANIA OPPOSITIFOLIA
WILD CRANE'S-BILL WHOLE	CROSSOPTERYX FEBRIFUGA
RANUNCULUS SILVATICUS WHOLE	ILEX VOMITORIA
RIVINA HUMILIS L.	TEUCRIUM CHAMAEDRYS
COPTIS (COPTIS CHINENSIS) [HOC]	PARONYCHIA ARGENTEA
KHAYA NYASICA WHOLE	BIDENS PILOSA
AGERIA OPACA WHOLE	LENS CULINARIS
CORALLODENDRON SUBERIFERA WHOLE	SENECIO FISTULOSUS
CORYPHA PUMILA WHOLE	ANTHYLLIS VULNERARIA
WHITE CLOVER WHOLE	CASTILLEJA MINIATA
AGARICUS VERSICOLOR WHOLE	ECBALLIUM ELATERIUM
BIDENS BIMUCRONATA WHOLE	AESCULUS PAVIA
MIMOSA PAROTA WHOLE	CRATAEGUS LAEVIGATA
ECBALLIUM ELATERIUM WHOLE	EMILIA SONCHIFOLIA
STACHYS CILIATA WHOLE	ERUCA VESICARIA
WINTER HELIOTROPE WHOLE	ROSA DAMASCENA
UNISEMA PURSHIANA WHOLE	TAMARIX CHINENSIS
ACHILLEA OCCIDENTALIS WHOLE	MEDICAGO POLYMORPHA
POLLINIA SCOPARIA WHOLE	CECROPIA PELTATA
DAMIANA WHOLE	SONCHUS OLERACEUS
MALVA RACEMOSA WHOLE	CAULOPHYLLUM THALICTROIDES
